pin,slack
dac_1/SIGMA_ADDER_0/sigma_register[10]:CLK,743
dac_1/SIGMA_ADDER_0/sigma_register[10]:D,592
dac_1/SIGMA_ADDER_0/sigma_register[10]:Q,743
data_receiver_0/data[7]:ALn,
data_receiver_0/data[7]:CLK,
data_receiver_0/data[7]:D,
data_receiver_0/data[7]:Q,
dac_1/DELTA_ADDER_0/data_out_1[10]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[10]:CLK,649
dac_1/DELTA_ADDER_0/data_out_1[10]:D,
dac_1/DELTA_ADDER_0/data_out_1[10]:Q,649
spi_slave_0/index[1]:ALn,
spi_slave_0/index[1]:CLK,-452
spi_slave_0/index[1]:D,-463
spi_slave_0/index[1]:EN,583
spi_slave_0/index[1]:Q,-452
data_receiver_0/data[2]:ALn,
data_receiver_0/data[2]:CLK,
data_receiver_0/data[2]:D,
data_receiver_0/data[2]:Q,
dac_1/DELTA_ADDER_0/data_out_1[7]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[7]:CLK,592
dac_1/DELTA_ADDER_0/data_out_1[7]:D,
dac_1/DELTA_ADDER_0/data_out_1[7]:Q,592
dac_0/DELTA_ADDER_0/data_out_1[6]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[6]:CLK,573
dac_0/DELTA_ADDER_0/data_out_1[6]:D,
dac_0/DELTA_ADDER_0/data_out_1[6]:Q,573
spi_slave_0/TxData[7]:ALn,
spi_slave_0/TxData[7]:CLK,2002
spi_slave_0/TxData[7]:D,2002
spi_slave_0/TxData[7]:Q,2002
spi_slave_0/TxData[7]:SLn,200
spi_slave_0/RxdData[16]:ALn,
spi_slave_0/RxdData[16]:CLK,1994
spi_slave_0/RxdData[16]:D,1994
spi_slave_0/RxdData[16]:EN,468
spi_slave_0/RxdData[16]:Q,1994
spi_slave_0/TxData[0]:ALn,
spi_slave_0/TxData[0]:CLK,2002
spi_slave_0/TxData[0]:Q,2002
spi_slave_0/index_RNO[0]:A,-161
spi_slave_0/index_RNO[0]:B,844
spi_slave_0/index_RNO[0]:Y,-161
data_receiver_0/data[26]:ALn,
data_receiver_0/data[26]:CLK,
data_receiver_0/data[26]:D,
data_receiver_0/data[26]:Q,
spi_slave_0/RxdData[3]:ALn,
spi_slave_0/RxdData[3]:CLK,1994
spi_slave_0/RxdData[3]:D,1994
spi_slave_0/RxdData[3]:EN,468
spi_slave_0/RxdData[3]:Q,1994
data_receiver_0/data[0]:ALn,
data_receiver_0/data[0]:CLK,
data_receiver_0/data[0]:D,
data_receiver_0/data[0]:Q,
spi_slave_0/index[3]:ALn,
spi_slave_0/index[3]:CLK,-228
spi_slave_0/index[3]:D,-452
spi_slave_0/index[3]:EN,583
spi_slave_0/index[3]:Q,-228
spi_slave_0/RxdData[5]:ALn,
spi_slave_0/RxdData[5]:CLK,1994
spi_slave_0/RxdData[5]:D,1994
spi_slave_0/RxdData[5]:EN,468
spi_slave_0/RxdData[5]:Q,1994
dac_0/DELTA_ADDER_0/data_out_1[5]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[5]:CLK,554
dac_0/DELTA_ADDER_0/data_out_1[5]:D,
dac_0/DELTA_ADDER_0/data_out_1[5]:Q,554
spi_slave_0/SS_old:ALn,
spi_slave_0/SS_old:CLK,866
spi_slave_0/SS_old:D,1971
spi_slave_0/SS_old:Q,866
data_receiver_0/data[18]:ALn,
data_receiver_0/data[18]:CLK,
data_receiver_0/data[18]:D,
data_receiver_0/data[18]:Q,
data_receiver_0/data[21]:ALn,
data_receiver_0/data[21]:CLK,
data_receiver_0/data[21]:D,
data_receiver_0/data[21]:Q,
dac_1/SIGMA_ADDER_0/sigma_register[16]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[16]:CLK,803
dac_1/SIGMA_ADDER_0/sigma_register[16]:D,478
dac_1/SIGMA_ADDER_0/sigma_register[16]:Q,803
spi_slave_0/RxdData[25]:ALn,
spi_slave_0/RxdData[25]:CLK,1994
spi_slave_0/RxdData[25]:D,1994
spi_slave_0/RxdData[25]:EN,468
spi_slave_0/RxdData[25]:Q,1994
dac_1/SIGMA_ADDER_0/temp_reg_cry_1:A,572
dac_1/SIGMA_ADDER_0/temp_reg_cry_1:B,478
dac_1/SIGMA_ADDER_0/temp_reg_cry_1:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_1:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_1:S,745
spi_slave_0/TxData[9]:ALn,
spi_slave_0/TxData[9]:CLK,2002
spi_slave_0/TxData[9]:D,2002
spi_slave_0/TxData[9]:Q,2002
spi_slave_0/TxData[9]:SLn,200
data_receiver_0/data[9]:ALn,
data_receiver_0/data[9]:CLK,
data_receiver_0/data[9]:D,
data_receiver_0/data[9]:Q,
dac_1/SIGMA_ADDER_0/temp_reg_cry_9:A,724
dac_1/SIGMA_ADDER_0/temp_reg_cry_9:B,630
dac_1/SIGMA_ADDER_0/temp_reg_cry_9:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_9:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_9:S,611
dac_0/SIGMA_ADDER_0/sigma_register[17]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[17]:CLK,640
dac_0/SIGMA_ADDER_0/sigma_register[17]:D,459
dac_0/SIGMA_ADDER_0/sigma_register[17]:Q,640
data_receiver_0/data[3]:ALn,
data_receiver_0/data[3]:CLK,
data_receiver_0/data[3]:D,
data_receiver_0/data[3]:Q,
dac_1/SIGMA_ADDER_0/temp_reg_cry_7:A,686
dac_1/SIGMA_ADDER_0/temp_reg_cry_7:B,592
dac_1/SIGMA_ADDER_0/temp_reg_cry_7:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_7:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_7:S,649
dac_1/SIGMA_ADDER_0/temp_reg_cry_3:A,610
dac_1/SIGMA_ADDER_0/temp_reg_cry_3:B,516
dac_1/SIGMA_ADDER_0/temp_reg_cry_3:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_3:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_3:S,725
spi_slave_0/RxdData[30]:ALn,
spi_slave_0/RxdData[30]:CLK,1994
spi_slave_0/RxdData[30]:D,1994
spi_slave_0/RxdData[30]:EN,468
spi_slave_0/RxdData[30]:Q,1994
data_receiver_0/data[20]:ALn,
data_receiver_0/data[20]:CLK,
data_receiver_0/data[20]:D,
data_receiver_0/data[20]:Q,
spi_slave_0/index_n2_i_1:A,923
spi_slave_0/index_n2_i_1:B,852
spi_slave_0/index_n2_i_1:C,756
spi_slave_0/index_n2_i_1:D,-429
spi_slave_0/index_n2_i_1:Y,-429
spi_slave_0/RxdData[18]:ALn,
spi_slave_0/RxdData[18]:CLK,1994
spi_slave_0/RxdData[18]:D,1994
spi_slave_0/RxdData[18]:EN,468
spi_slave_0/RxdData[18]:Q,1994
data_receiver_0/dac_reset:A,
data_receiver_0/dac_reset:B,
data_receiver_0/dac_reset:Y,
dac_0/SIGMA_ADDER_0/temp_reg_cry_1:A,572
dac_0/SIGMA_ADDER_0/temp_reg_cry_1:B,478
dac_0/SIGMA_ADDER_0/temp_reg_cry_1:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_1:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_1:S,745
dac_1/DELTA_ADDER_0/data_out_1[0]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[0]:CLK,459
dac_1/DELTA_ADDER_0/data_out_1[0]:D,
dac_1/DELTA_ADDER_0/data_out_1[0]:Q,459
data_receiver_0/dac_reset_RNILDSA/U0:An,
data_receiver_0/dac_reset_RNILDSA/U0:YNn,
dac_1/DELTA_ADDER_0/data_out_1[9]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[9]:CLK,630
dac_1/DELTA_ADDER_0/data_out_1[9]:D,
dac_1/DELTA_ADDER_0/data_out_1[9]:Q,630
dac_0/SIGMA_ADDER_0/temp_reg_cry_9:A,724
dac_0/SIGMA_ADDER_0/temp_reg_cry_9:B,630
dac_0/SIGMA_ADDER_0/temp_reg_cry_9:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_9:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_9:S,611
dac_1/SIGMA_ADDER_0/sigma_register[12]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[12]:CLK,781
dac_1/SIGMA_ADDER_0/sigma_register[12]:D,554
dac_1/SIGMA_ADDER_0/sigma_register[12]:Q,781
dac_0/SIGMA_ADDER_0/temp_reg_cry_7:A,686
dac_0/SIGMA_ADDER_0/temp_reg_cry_7:B,592
dac_0/SIGMA_ADDER_0/temp_reg_cry_7:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_7:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_7:S,649
data_receiver_0/data[14]:ALn,
data_receiver_0/data[14]:CLK,
data_receiver_0/data[14]:D,
data_receiver_0/data[14]:Q,
dac_0/SIGMA_ADDER_0/temp_reg_cry_3:A,610
dac_0/SIGMA_ADDER_0/temp_reg_cry_3:B,516
dac_0/SIGMA_ADDER_0/temp_reg_cry_3:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_3:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_3:S,725
dac_0/SIGMA_ADDER_0/sigma_register[14]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[14]:CLK,803
dac_0/SIGMA_ADDER_0/sigma_register[14]:D,516
dac_0/SIGMA_ADDER_0/sigma_register[14]:Q,803
spi_slave_0/index[2]:ALn,
spi_slave_0/index[2]:CLK,-351
spi_slave_0/index[2]:D,-429
spi_slave_0/index[2]:EN,583
spi_slave_0/index[2]:Q,-351
spi_sck_ibuf/U0/U_IOINFF:A,
spi_sck_ibuf/U0/U_IOINFF:Y,
dac_0/SIGMA_ADDER_0/temp_reg_cry_10:A,743
dac_0/SIGMA_ADDER_0/temp_reg_cry_10:B,649
dac_0/SIGMA_ADDER_0/temp_reg_cry_10:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_10:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_10:S,592
dac_0/SIGMA_ADDER_0/sigma_register[7]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[7]:CLK,686
dac_0/SIGMA_ADDER_0/sigma_register[7]:D,649
dac_0/SIGMA_ADDER_0/sigma_register[7]:Q,686
spi_slave_0/RxdData[17]:ALn,
spi_slave_0/RxdData[17]:CLK,1994
spi_slave_0/RxdData[17]:D,1994
spi_slave_0/RxdData[17]:EN,468
spi_slave_0/RxdData[17]:Q,1994
data_receiver_0/data[29]:ALn,
data_receiver_0/data[29]:CLK,
data_receiver_0/data[29]:D,
data_receiver_0/data[29]:Q,
data_receiver_0/data[4]:ALn,
data_receiver_0/data[4]:CLK,
data_receiver_0/data[4]:D,
data_receiver_0/data[4]:Q,
spi_slave_0/TxData[4]:ALn,
spi_slave_0/TxData[4]:CLK,2002
spi_slave_0/TxData[4]:D,2002
spi_slave_0/TxData[4]:Q,2002
spi_slave_0/TxData[4]:SLn,200
spi_slave_0/TxData[26]:ALn,
spi_slave_0/TxData[26]:CLK,2002
spi_slave_0/TxData[26]:D,2002
spi_slave_0/TxData[26]:Q,2002
spi_slave_0/TxData[26]:SLn,200
dac_1/SIGMA_ADDER_0/sigma_register[7]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[7]:CLK,686
dac_1/SIGMA_ADDER_0/sigma_register[7]:D,649
dac_1/SIGMA_ADDER_0/sigma_register[7]:Q,686
data_receiver_0/data[15]:ALn,
data_receiver_0/data[15]:CLK,
data_receiver_0/data[15]:D,
data_receiver_0/data[15]:Q,
dac_out_left_obuf/U0/U_IOOUTFF:A,
dac_out_left_obuf/U0/U_IOOUTFF:Y,
SYSRESET_0/IP_INTERFACE_0:IPA,
spi_miso_obuf/U0/U_IOOUTFF:A,
spi_miso_obuf/U0/U_IOOUTFF:Y,
dac_0/SIGMA_ADDER_0/sigma_register[0]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[0]:CLK,553
dac_0/SIGMA_ADDER_0/sigma_register[0]:D,885
dac_0/SIGMA_ADDER_0/sigma_register[0]:Q,553
dac_0/DELTA_ADDER_0/data_out_1[8]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[8]:CLK,611
dac_0/DELTA_ADDER_0/data_out_1[8]:D,
dac_0/DELTA_ADDER_0/data_out_1[8]:Q,611
dac_1/SIGMA_ADDER_0/sigma_register[0]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[0]:CLK,553
dac_1/SIGMA_ADDER_0/sigma_register[0]:D,885
dac_1/SIGMA_ADDER_0/sigma_register[0]:Q,553
spi_slave_0/TxData[16]:ALn,
spi_slave_0/TxData[16]:CLK,2002
spi_slave_0/TxData[16]:D,2002
spi_slave_0/TxData[16]:Q,2002
spi_slave_0/TxData[16]:SLn,200
spi_slave_0/RxdData[13]:ALn,
spi_slave_0/RxdData[13]:CLK,1994
spi_slave_0/RxdData[13]:D,1994
spi_slave_0/RxdData[13]:EN,468
spi_slave_0/RxdData[13]:Q,1994
spi_slave_0/TxData[3]:ALn,
spi_slave_0/TxData[3]:CLK,2002
spi_slave_0/TxData[3]:D,2002
spi_slave_0/TxData[3]:Q,2002
spi_slave_0/TxData[3]:SLn,200
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_4:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_4:IPC,
spi_slave_0/TxData[25]:ALn,
spi_slave_0/TxData[25]:CLK,2002
spi_slave_0/TxData[25]:D,2002
spi_slave_0/TxData[25]:Q,2002
spi_slave_0/TxData[25]:SLn,200
dac_0/DELTA_ADDER_0/data_out_1[14]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[14]:CLK,725
dac_0/DELTA_ADDER_0/data_out_1[14]:D,
dac_0/DELTA_ADDER_0/data_out_1[14]:Q,725
spi_slave_0/RxdData[21]:ALn,
spi_slave_0/RxdData[21]:CLK,1994
spi_slave_0/RxdData[21]:D,1994
spi_slave_0/RxdData[21]:EN,468
spi_slave_0/RxdData[21]:Q,1994
dac_1/SIGMA_ADDER_0/sigma_register[17]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[17]:CLK,640
dac_1/SIGMA_ADDER_0/sigma_register[17]:D,459
dac_1/SIGMA_ADDER_0/sigma_register[17]:Q,640
dac_1/DELTA_ADDER_0/data_out_1[6]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[6]:CLK,573
dac_1/DELTA_ADDER_0/data_out_1[6]:D,
dac_1/DELTA_ADDER_0/data_out_1[6]:Q,573
spi_slave_0/TxData[15]:ALn,
spi_slave_0/TxData[15]:CLK,2002
spi_slave_0/TxData[15]:D,2002
spi_slave_0/TxData[15]:Q,2002
spi_slave_0/TxData[15]:SLn,200
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK0,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK1,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK2,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:CLK3,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GL0,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD0_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD1_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD2_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:GPD3_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:LOCK,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX0_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX1_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX2_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_HOLD_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:NGMUX3_SEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[2],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[3],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[4],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[5],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[6],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PADDR[7],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PCLK,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PENABLE,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_ARST_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_BYPASS_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PLL_POWERDOWN_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PRESET_N,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PSEL,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[0],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[1],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[2],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[3],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[4],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[5],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[6],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWDATA[7],
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:PWRITE,
FCCC_C0_0/FCCC_C0_0/CCC_INST/INST_CCC_IP:RCOSC_25_50MHZ,
spi_slave_0/TxData[24]:ALn,
spi_slave_0/TxData[24]:CLK,2002
spi_slave_0/TxData[24]:D,2002
spi_slave_0/TxData[24]:Q,2002
spi_slave_0/TxData[24]:SLn,200
spi_slave_0/RxdData[0]:ALn,
spi_slave_0/RxdData[0]:CLK,1994
spi_slave_0/RxdData[0]:D,2002
spi_slave_0/RxdData[0]:EN,468
spi_slave_0/RxdData[0]:Q,1994
spi_slave_0/index_n1_i:A,900
spi_slave_0/index_n1_i:B,-463
spi_slave_0/index_n1_i:C,764
spi_slave_0/index_n1_i:Y,-463
data_receiver_0/data[17]:ALn,
data_receiver_0/data[17]:CLK,
data_receiver_0/data[17]:D,
data_receiver_0/data[17]:Q,
spi_slave_0/TxData[23]:ALn,
spi_slave_0/TxData[23]:CLK,2002
spi_slave_0/TxData[23]:D,2002
spi_slave_0/TxData[23]:Q,2002
spi_slave_0/TxData[23]:SLn,200
data_receiver_0/data[6]:ALn,
data_receiver_0/data[6]:CLK,
data_receiver_0/data[6]:D,
data_receiver_0/data[6]:Q,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_7:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_7:IPC,
spi_slave_0/TxData[29]:ALn,
spi_slave_0/TxData[29]:CLK,2002
spi_slave_0/TxData[29]:D,2002
spi_slave_0/TxData[29]:Q,2002
spi_slave_0/TxData[29]:SLn,200
data_receiver_0/data[1]:ALn,
data_receiver_0/data[1]:CLK,
data_receiver_0/data[1]:D,
data_receiver_0/data[1]:Q,
dac_0/DELTA_ADDER_0/data_out_1[11]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[11]:CLK,668
dac_0/DELTA_ADDER_0/data_out_1[11]:D,
dac_0/DELTA_ADDER_0/data_out_1[11]:Q,668
spi_slave_0/TxData[14]:ALn,
spi_slave_0/TxData[14]:CLK,2002
spi_slave_0/TxData[14]:D,2002
spi_slave_0/TxData[14]:Q,2002
spi_slave_0/TxData[14]:SLn,200
dac_1/DELTA_ADDER_0/data_out_1[5]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[5]:CLK,554
dac_1/DELTA_ADDER_0/data_out_1[5]:D,
dac_1/DELTA_ADDER_0/data_out_1[5]:Q,554
spi_slave_0/RxdData[22]:ALn,
spi_slave_0/RxdData[22]:CLK,1994
spi_slave_0/RxdData[22]:D,1994
spi_slave_0/RxdData[22]:EN,468
spi_slave_0/RxdData[22]:Q,1994
spi_slave_0/TxData[13]:ALn,
spi_slave_0/TxData[13]:CLK,2002
spi_slave_0/TxData[13]:D,2002
spi_slave_0/TxData[13]:Q,2002
spi_slave_0/TxData[13]:SLn,200
dac_1/SIGMA_ADDER_0/temp_reg_cry_13:A,800
dac_1/SIGMA_ADDER_0/temp_reg_cry_13:B,706
dac_1/SIGMA_ADDER_0/temp_reg_cry_13:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_13:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_13:S,535
dac_0/SIGMA_ADDER_0/sigma_register[5]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[5]:CLK,648
dac_0/SIGMA_ADDER_0/sigma_register[5]:D,687
dac_0/SIGMA_ADDER_0/sigma_register[5]:Q,648
dac_0/SIGMA_ADDER_0/sigma_register[4]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[4]:CLK,629
dac_0/SIGMA_ADDER_0/sigma_register[4]:D,706
dac_0/SIGMA_ADDER_0/sigma_register[4]:Q,629
dac_1/SIGMA_ADDER_0/temp_reg_cry_6:A,667
dac_1/SIGMA_ADDER_0/temp_reg_cry_6:B,573
dac_1/SIGMA_ADDER_0/temp_reg_cry_6:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_6:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_6:S,668
spi_slave_0/TxData[19]:ALn,
spi_slave_0/TxData[19]:CLK,2002
spi_slave_0/TxData[19]:D,2002
spi_slave_0/TxData[19]:Q,2002
spi_slave_0/TxData[19]:SLn,200
data_receiver_0/data[23]:ALn,
data_receiver_0/data[23]:CLK,
data_receiver_0/data[23]:D,
data_receiver_0/data[23]:Q,
dac_1/SIGMA_ADDER_0/sigma_register[5]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[5]:CLK,648
dac_1/SIGMA_ADDER_0/sigma_register[5]:D,687
dac_1/SIGMA_ADDER_0/sigma_register[5]:Q,648
dac_0/SIGMA_ADDER_0/sigma_register[9]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[9]:CLK,724
dac_0/SIGMA_ADDER_0/sigma_register[9]:D,611
dac_0/SIGMA_ADDER_0/sigma_register[9]:Q,724
dac_1/SIGMA_ADDER_0/sigma_register[4]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[4]:CLK,629
